mp_name,constituency,region,country,party,party_abbreviation,signed_call
Lee Dillon,Newbury,South East,England,Liberal Democrat,LD,FALSE
Chi Onwurah,Newcastle upon Tyne Central and West,North East,England,Labour,Lab,FALSE
Mary Glindon,Newcastle upon Tyne East and Wallsend,North East,England,Labour,Lab,FALSE
Catherine McKinnell,Newcastle upon Tyne North,North East,England,Labour,Lab,FALSE
Adam Jogee,Newcastle-under-Lyme,West Midlands,England,Labour,Lab,FALSE
Jessica Morden,Newport East,Wales,Wales,Labour,Lab,FALSE
Ruth Jones,Newport West and Islwyn,Wales,Wales,Labour,Lab,FALSE
Dáire Hughes,Newry and Armagh,Northern Ireland,Northern Ireland,Sinn Fein,SF,FALSE
Martin Wrigley,Newton Abbot,South West,England,Liberal Democrat,LD,TRUE
Alan Strickland,Newton Aycliffe and Spennymoor,North East,England,Labour,Lab,FALSE
Jon Trickett,Normanton and Hemsworth,Yorkshire and The Humber,England,Labour,Lab,FALSE
Jim Allister,North Antrim,Northern Ireland,Northern Ireland,Traditional Unionist Voice,TUV,FALSE
Irene Campbell,North Ayrshire and Arran,Scotland,Scotland,Labour,Lab,FALSE
Richard Fuller,North Bedfordshire,East of England,England,Conservative,Con,FALSE
Ben Maguire,North Cornwall,South West,England,Liberal Democrat,LD,TRUE
Geoffrey Clifton-Brown,North Cotswolds,South West,England,Conservative,Con,FALSE
Ian Roome,North Devon,South West,England,Liberal Democrat,LD,FALSE
Simon Hoare,North Dorset,South West,England,Conservative,Con,FALSE
Alex Easton,North Down,Northern Ireland,Northern Ireland,Independent,Ind,FALSE
Luke Akehurst,North Durham,North East,England,Labour,Lab,FALSE
Steve Barclay,North East Cambridgeshire,East of England,England,Conservative,Con,FALSE
Louise Jones,North East Derbyshire,East Midlands,England,Labour,Lab,FALSE
Wendy Chamberlain,North East Fife,Scotland,Scotland,Liberal Democrat,LD,FALSE
Alex Brewer,North East Hampshire,South East,England,Liberal Democrat,LD,FALSE
Chris Hinchliff,North East Hertfordshire,East of England,England,Labour,Lab,FALSE
Dan Norris,North East Somerset and Hanham,South West,England,Labour,Lab,FALSE
Ellie Chowns,North Herefordshire,West Midlands,England,Green,Green,TRUE
Steffan Aquarone,North Norfolk,East of England,England,Liberal Democrat,LD,FALSE
David Smith,North Northumberland,North East,England,Labour,Lab,FALSE
Helen Morgan,North Shropshire,West Midlands,England,Liberal Democrat,LD,FALSE
Sadik Al-Hassan,North Somerset,South West,England,Labour,Lab,FALSE
Rachel Taylor,North Warwickshire and Bedworth,West Midlands,England,Labour,Lab,FALSE
Sam Carling,North West Cambridgeshire,East of England,England,Labour,Lab,FALSE
Kemi Badenoch,North West Essex,East of England,England,Conservative,Con,FALSE
Kit Malthouse,North West Hampshire,South East,England,Conservative,Con,FALSE
Amanda Hack,North West Leicestershire,East Midlands,England,Labour,Lab,FALSE
James Wild,North West Norfolk,East of England,England,Conservative,Con,FALSE
Lucy Rigby,Northampton North,East Midlands,England,Labour,Lab,FALSE
